year,population,
1925,91669,
1926,97991,
1927,109346,
1928,116390,
1929,120496,
1930,129453,
1931,137082,
1932,137997,
1933,136810,
1934,138316,
1935,144180,
1936,145038,
1937,152741,
1938,160285,
1939,179818,
1940,173706,
1941,165439,
1942,150384,
1943,137220,
1944,132456,
1945,133649,
1946,140079,
1947,151304,
1948,155977,
1949,163749,
1950,166123,
1951,165680,
1952,168233,
1953,173579,
1954,182901,
1955,185780,
1956,189565,
1957,195414,
1958,205643,
1959,208105,
1960,212953,
1961,220149,
1962,218830,
1963,217283,
1964,214336,
1965,210895,
1966,199654,
1967,194896,
1968,187914,
1969,196007,
1970,196429,
1971,198061,
1972,196092,
1973,204211,
1974,218466,
1975,240593,
1976,262833,
1977,285456,
1978,294396,
1979,301470,
1980,315964,
1981,353673,
1982,395516,
1983,419346,
1984,443398,
1985,480568,
1986,522084,
1987,560812,
1988,603732,
1989,680907,
1990,739980,
1991,789612,
1992,846277,
1993,932074,
1994,1016691,
1995,1085022,
1996,1137722,
1997,1194334,
1998,1256474,
1999,1304081,
2000,1334174,
2001,1345217,
2002,1380516,
2003,1408361,
2004,1433728,
2005,1462866,
2006,1504598,
2007,1532851,
2008,1547742,
2009,1553574,
2010,1552669,
2011,1538847,
2012,1511480